event_date,event_location,fighter_1,fighter_2,result,method_main,method_detail,round,time,fighter_1_kd,fighter_1_str,fighter_1_td,fighter_1_sub,fighter_2_kd,fighter_2_str,fighter_2_td,fighter_2_sub,weight_class,fighter_1_record,fighter_1_height,fighter_1_weight,fighter_1_reach,fighter_1_stance,fighter_1_dob,fighter_1_slpm,fighter_1_str_acc,fighter_1_sapm,fighter_1_str_def,fighter_1_td_avg,fighter_1_td_acc,fighter_1_td_def,fighter_1_sub_avg,fighter_2_record,fighter_2_height,fighter_2_weight,fighter_2_reach,fighter_2_stance,fighter_2_dob,fighter_2_slpm,fighter_2_str_acc,fighter_2_sapm,fighter_2_str_def,fighter_2_td_avg,fighter_2_td_acc,fighter_2_td_def,fighter_2_sub_avg,fighter_1_born,fighter_1_gym,fighter_2_born,fighter_2_gym,fighter_1_ufcwins,fighter_1_ufcloss,fighter_2_ufcwins,fighter_2_ufcloss,fighter_1_active,fighter_2_active,fighter_1_wins,fighter_2_wins,fighter_1_age_at_fight,fighter_1_age_gap,fighter_1_current_age,fighter_1_draws,fighter_1_ig,fighter_1_losses,fighter_1_open_odds,fighter_1_reachheightadv,fighter_2_age_at_fight,fighter_2_current_age,fighter_2_draws,fighter_2_ig,fighter_2_losses,fighter_2_open_odds
7/16/1999,"Cedar Rapids, Iowa, USA",Jeremy Horn,Daiju Takase,win,KO/TKO,Elbows,1,4:41,0,35,0,0,0,0,0,0,Middleweight,,"6' 1""",185 lbs.,"74""",Orthodox,8/25/1975,1.19,39%,1.99,55%,1.83,38%,29%,1.1,,"6' 0""",170 lbs.,--,Southpaw,4/20/1978,0.49,30%,1.64,47%,0.84,17%,21%,1.2,#N/A,#N/A,#N/A,#N/A,1,2,0,0,FALSE,FALSE,91,12,23,2,49,5,#N/A,22,,,21,47,2,#N/A,15,
7/16/1999,"Cedar Rapids, Iowa, USA",Paul Jones,Flavio Luiz Moura,win,SUB,Rear Naked Choke,1,4:20,0,21,0,2,1,1,0,0,Middleweight,,"5' 9""",199 lbs.,--,Orthodox,6/16/1963,0,0%,0,0%,0,0%,0%,0,,"5' 11""",183 lbs.,--,Open Stance,--,0.67,16%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,FALSE,FALSE,11,19,36,,61,1,#N/A,1,,,Unknown,Unknown,0,#N/A,7,
7/16/1999,"Cedar Rapids, Iowa, USA",Tsuyoshi Kohsaka,Tim Lajcik,win,KO/TKO,,2,5:00,0,11,0,3,0,12,0,0,Heavyweight,,"5' 11""",225 lbs.,--,Orthodox,3/6/1970,1.88,38%,4.41,54%,1.32,20%,33%,0.4,,"6' 1""",225 lbs.,--,Orthodox,6/21/1965,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,2,1,0,0,FALSE,FALSE,27,7,29,-5,55,2,#N/A,19,,,34,59,1,#N/A,6,
7/16/1999,"Cedar Rapids, Iowa, USA",Eugene Jackson,Royce Alger,win,KO/TKO,Punch,2,1:19,1,21,0,1,0,11,2,0,Middleweight,,"5' 8""",185 lbs.,--,Orthodox,9/23/1966,2.19,33%,3.44,32%,1.91,71%,16%,2.3,,"5' 10""",199 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,1,FALSE,FALSE,15,3,32,,58,1,#N/A,9,,,Unknown,Unknown,0,#N/A,2,
7/16/1999,"Cedar Rapids, Iowa, USA",Andre Roberts,Ron Waterman,win,KO/TKO,Punch,1,2:51,1,10,0,0,0,22,0,0,Heavyweight,,"6' 2""",345 lbs.,--,Orthodox,2/24/1965,0,0%,0,0%,0,0%,0%,0,,"6' 2""",280 lbs.,--,Orthodox,11/23/1965,0.84,50%,1.37,42%,4.19,69%,50%,2.8,#N/A,#N/A,#N/A,#N/A,1,1,1,0,FALSE,FALSE,14,16,34,1,60,1,#N/A,2,,,33,59,2,#N/A,6,
7/16/1999,"Cedar Rapids, Iowa, USA",Travis Fulton,David Dodd,win,U-DEC,,2,5:00,1,25,1,0,0,0,0,0,Heavyweight,,"6' 0""",240 lbs.,--,Orthodox,5/29/1977,0,0%,0,0%,0,0%,0%,0,,"6' 2""",200 lbs.,--,Orthodox,9/22/1973,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,1,0,0,FALSE,FALSE,253,4,22,-3,48,10,#N/A,53,,,25,51,0,#N/A,7,
5/7/1999,"Birmingham, Alabama, USA",Bas Rutten,Kevin Randleman,win,S-DEC,,3,3:00,0,18,0,1,0,20,6,0,Heavyweight,,"6' 1""",205 lbs.,--,Orthodox,2/24/1965,5.59,61%,2.06,79%,0,0%,0%,0,,"5' 10""",205 lbs.,--,Orthodox,8/10/1971,1.26,54%,1.12,57%,2,56%,30%,0.8,#N/A,#N/A,#N/A,#N/A,1,0,1,0,FALSE,FALSE,28,17,34,7,60,1,#N/A,4,,,27,53,0,#N/A,16,
5/7/1999,"Birmingham, Alabama, USA",Pedro Rizzo,Tra Telligman,win,KO/TKO,Punch,1,4:30,1,9,0,0,0,16,0,0,Heavyweight,,"6' 1""",241 lbs.,--,Orthodox,5/3/1974,1.93,34%,3.02,50%,0.26,28%,78%,0,,"6' 2""",233 lbs.,--,Orthodox,2/7/1965,1.83,35%,3.02,56%,0.87,100%,80%,0,#N/A,#N/A,#N/A,#N/A,2,0,1,1,FALSE,FALSE,20,7,25,-9,51,0,#N/A,11,,,34,60,1,#N/A,5,
5/7/1999,"Birmingham, Alabama, USA",Pete Williams,Travis Fulton,win,SUB,Armbar,1,6:28,0,15,0,2,0,6,0,0,Heavyweight,,"6' 3""",235 lbs.,--,Orthodox,7/10/1975,0.61,62%,2.77,40%,1.84,40%,16%,0.9,,"6' 0""",240 lbs.,--,Orthodox,5/29/1977,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,2,1,0,0,FALSE,FALSE,12,253,23,2,49,0,#N/A,6,,,21,48,10,#N/A,53,
5/7/1999,"Birmingham, Alabama, USA",Wanderlei Silva,Tony Petarra,win,KO/TKO,Knees,1,2:53,1,25,0,0,0,4,0,0,Middleweight,,"5' 11""",205 lbs.,"74""",Orthodox,7/3/1976,2.79,40%,2.19,60%,0.97,53%,62%,0.6,,"5' 11""",196 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,1,0,0,FALSE,FALSE,35,2,22,,48,1,#N/A,13,,,Unknown,Unknown,1,#N/A,3,
